epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1662.95,0.40499,1.1636,0.36297,0.87049,0.9551,0.93985,0.97333,0.91988,0.94955,0.9342,0.96409,0.64782,0.34559,1.25967,0.32405,0.84682,0.000230464,0.000230464,0.000230464
126,1675.52,0.41005,1.13042,0.3491,0.86966,0.9662,0.93512,0.97348,0.92585,0.96378,0.92749,0.96484,0.65763,0.33889,1.20726,0.31595,0.84097,0.000225318,0.000225318,0.000225318
127,1687.77,0.4051,1.18876,0.34936,0.86173,0.97109,0.92928,0.97448,0.92535,0.96624,0.92543,0.96729,0.65902,0.34084,1.21957,0.32613,0.84778,0.000220206,0.000220206,0.000220206
128,1700.71,0.38241,1.12858,0.3351,0.86396,0.97159,0.93472,0.9731,0.92044,0.96809,0.93088,0.9644,0.6739,0.3462,1.16241,0.32444,0.85202,0.000215128,0.000215128,0.000215128
129,1712.52,0.40047,1.14869,0.3523,0.86164,0.96128,0.93944,0.97282,0.92328,0.95397,0.93232,0.96358,0.65428,0.34153,1.28362,0.32549,0.84529,0.000210087,0.000210087,0.000210087
130,1726.56,0.39125,1.17848,0.33807,0.86827,0.95764,0.93289,0.97227,0.92012,0.95465,0.92974,0.96021,0.65163,0.34589,1.28434,0.33805,0.84476,0.000205082,0.000205082,0.000205082
131,1739.46,0.37577,1.11697,0.33056,0.85833,0.9495,0.95641,0.97387,0.92573,0.94411,0.94843,0.96654,0.64558,0.33693,1.28639,0.32281,0.84593,0.000200116,0.000200116,0.000200116
132,1753.95,0.38042,1.10136,0.33557,0.8623,0.96216,0.92985,0.97698,0.92325,0.95504,0.92946,0.97059,0.65607,0.34965,1.22952,0.33447,0.84918,0.00019519,0.00019519,0.00019519
133,1767.22,0.39279,1.16065,0.33731,0.86325,0.94816,0.93881,0.97551,0.9266,0.95154,0.9245,0.96703,0.66185,0.32867,1.21929,0.32009,0.84591,0.000190304,0.000190304,0.000190304
134,1780.12,0.38341,1.12191,0.3316,0.86088,0.96722,0.9344,0.97622,0.92422,0.96721,0.92765,0.96369,0.68595,0.33882,1.1278,0.31524,0.84756,0.00018546,0.00018546,0.00018546
135,1794.03,0.39115,1.17119,0.34929,0.8799,0.93636,0.94394,0.97445,0.92176,0.93411,0.93688,0.96823,0.65339,0.33893,1.26888,0.3364,0.85011,0.000180659,0.000180659,0.000180659
136,1807.13,0.3756,1.16138,0.32883,0.8663,0.93712,0.95342,0.974,0.92019,0.96495,0.91586,0.96743,0.65373,0.33691,1.26946,0.32263,0.85055,0.000175903,0.000175903,0.000175903
137,1820.15,0.38113,1.12501,0.33231,0.85847,0.9612,0.93373,0.97584,0.92371,0.9595,0.93233,0.96681,0.66899,0.33373,1.19068,0.32533,0.84304,0.000171193,0.000171193,0.000171193
138,1833.19,0.38643,1.15931,0.32681,0.86664,0.95218,0.93507,0.97504,0.92427,0.95209,0.92831,0.96871,0.64352,0.33534,1.31375,0.32869,0.84317,0.000166529,0.000166529,0.000166529
139,1845.95,0.37405,1.12393,0.32007,0.85638,0.93042,0.95342,0.97285,0.92024,0.96017,0.91449,0.9682,0.66991,0.33826,1.18443,0.32612,0.84334,0.000161913,0.000161913,0.000161913
140,1859.36,0.38171,1.1236,0.31589,0.86928,0.95683,0.93049,0.9757,0.92565,0.93666,0.9407,0.97013,0.66611,0.34116,1.25622,0.32332,0.84764,0.000157346,0.000157346,0.000157346
141,1872.69,0.37796,1.1224,0.33697,0.86508,0.95036,0.93991,0.9753,0.92469,0.94835,0.93528,0.96841,0.63831,0.34445,1.37272,0.3222,0.8434,0.000152829,0.000152829,0.000152829
142,1885.45,0.37935,1.12438,0.32039,0.85829,0.95924,0.93278,0.97399,0.92001,0.95531,0.92864,0.96701,0.65825,0.34038,1.2675,0.32222,0.84037,0.000148363,0.000148363,0.000148363
143,1897.69,0.38986,1.13804,0.34424,0.85957,0.95109,0.95575,0.97904,0.93021,0.9452,0.94835,0.97091,0.6647,0.33219,1.23469,0.29644,0.84068,0.00014395,0.00014395,0.00014395
144,1910.6,0.35119,1.06498,0.30694,0.85267,0.96318,0.93435,0.97686,0.92614,0.96315,0.92947,0.97061,0.66481,0.33273,1.26585,0.31082,0.84279,0.00013959,0.00013959,0.00013959
145,1923.99,0.37349,1.11077,0.31699,0.85762,0.95464,0.93832,0.97474,0.92244,0.95107,0.93113,0.96594,0.67963,0.33914,1.17898,0.32356,0.85009,0.000135285,0.000135285,0.000135285
146,1936.93,0.37283,1.14106,0.32099,0.8579,0.94403,0.95002,0.97258,0.9229,0.93696,0.94209,0.96331,0.65144,0.33818,1.29487,0.32672,0.84436,0.000131036,0.000131036,0.000131036
147,1949.74,0.36582,1.09625,0.31401,0.85985,0.94652,0.9465,0.97337,0.92453,0.93777,0.94402,0.96673,0.65334,0.32963,1.28136,0.31417,0.84693,0.000126843,0.000126843,0.000126843
148,1961.78,0.35431,1.06747,0.31223,0.84806,0.96585,0.93548,0.97577,0.92561,0.96344,0.92859,0.96657,0.64856,0.3349,1.30088,0.30631,0.84949,0.000122707,0.000122707,0.000122707
149,1974.3,0.36948,1.11378,0.31062,0.85587,0.96231,0.94545,0.97726,0.92427,0.96266,0.93442,0.96936,0.66111,0.32956,1.24811,0.30442,0.84751,0.000118631,0.000118631,0.000118631
150,1987.07,0.36793,1.13569,0.31968,0.86418,0.96704,0.93393,0.97839,0.92745,0.96626,0.93073,0.97149,0.68266,0.32786,1.17577,0.3032,0.84521,0.000114614,0.000114614,0.000114614
151,1999.04,0.36943,1.1201,0.30893,0.85208,0.9559,0.94527,0.97733,0.92627,0.94912,0.93825,0.96784,0.65102,0.32979,1.29974,0.3013,0.84369,0.000110657,0.000110657,0.000110657
152,2012.27,0.36509,1.12951,0.30511,0.86069,0.95169,0.94307,0.97794,0.92773,0.96284,0.91958,0.9694,0.65396,0.32975,1.26529,0.30703,0.84385,0.000106763,0.000106763,0.000106763
153,2024.73,0.35378,1.05421,0.30319,0.84937,0.94793,0.9431,0.9777,0.92906,0.9556,0.92701,0.96928,0.65978,0.32412,1.2671,0.30903,0.84428,0.000102931,0.000102931,0.000102931
154,2037.48,0.36991,1.12316,0.30814,0.86516,0.97093,0.92731,0.9771,0.92729,0.96844,0.92333,0.96691,0.67966,0.32801,1.19207,0.30796,0.8427,9.91622e-05,9.91622e-05,9.91622e-05
155,2049.72,0.36123,1.09345,0.31402,0.85618,0.96069,0.92814,0.97428,0.92746,0.96173,0.91944,0.96391,0.65827,0.32247,1.30419,0.30601,0.83805,9.54582e-05,9.54582e-05,9.54582e-05
156,2063.44,0.36055,1.12322,0.31334,0.86167,0.97186,0.92548,0.97714,0.93021,0.96924,0.92102,0.96802,0.67041,0.31363,1.24881,0.29775,0.83383,9.18197e-05,9.18197e-05,9.18197e-05
157,2075.86,0.35984,1.11081,0.30109,0.85409,0.95516,0.94068,0.97767,0.92832,0.94958,0.93444,0.96677,0.64849,0.32325,1.33212,0.3065,0.83867,8.82475e-05,8.82475e-05,8.82475e-05
158,2088.09,0.37423,1.15786,0.30272,0.85758,0.96144,0.93439,0.97642,0.93047,0.9553,0.92815,0.96742,0.65585,0.31909,1.31611,0.30848,0.83813,8.47425e-05,8.47425e-05,8.47425e-05
159,2101.33,0.35001,1.05988,0.29369,0.85105,0.95349,0.94288,0.97564,0.92853,0.95488,0.93932,0.96741,0.65399,0.321,1.30904,0.30447,0.84088,8.13055e-05,8.13055e-05,8.13055e-05
160,2114.55,0.3725,1.13169,0.30134,0.86761,0.95851,0.94691,0.97715,0.92779,0.95471,0.94317,0.96842,0.68485,0.31799,1.17561,0.30431,0.83952,7.79375e-05,7.79375e-05,7.79375e-05
161,2127.51,0.34719,1.09312,0.29019,0.84681,0.9684,0.93452,0.97779,0.93158,0.96791,0.92674,0.96961,0.68572,0.31467,1.17564,0.30067,0.83692,7.46391e-05,7.46391e-05,7.46391e-05
162,2140.36,0.35911,1.06472,0.30361,0.85713,0.96959,0.93395,0.97804,0.9325,0.96655,0.93213,0.97127,0.66936,0.31513,1.23053,0.29394,0.83828,7.14113e-05,7.14113e-05,7.14113e-05
163,2153.49,0.3812,1.14228,0.31039,0.87383,0.95781,0.94225,0.97804,0.93011,0.95522,0.93557,0.97024,0.66666,0.31705,1.25096,0.29527,0.83829,6.82549e-05,6.82549e-05,6.82549e-05
164,2166.07,0.35383,1.13239,0.2934,0.84625,0.95606,0.94244,0.97709,0.9296,0.96684,0.92381,0.96702,0.66623,0.31716,1.25987,0.29693,0.84053,6.51706e-05,6.51706e-05,6.51706e-05
165,2178.03,0.35968,1.11527,0.3056,0.85354,0.95323,0.94385,0.97692,0.93259,0.95347,0.9359,0.9688,0.66702,0.31119,1.26577,0.29422,0.83571,6.21592e-05,6.21592e-05,6.21592e-05
166,2191.07,0.36598,1.13261,0.30763,0.86501,0.95128,0.94877,0.97756,0.93075,0.94861,0.94506,0.97166,0.6742,0.32036,1.22488,0.29876,0.83978,5.92214e-05,5.92214e-05,5.92214e-05
167,2204.16,0.35855,1.07543,0.30658,0.85374,0.95673,0.94975,0.97693,0.93183,0.95312,0.94349,0.9701,0.65673,0.31564,1.27925,0.29648,0.84063,5.63579e-05,5.63579e-05,5.63579e-05
168,2217.92,0.34101,1.07308,0.27748,0.8484,0.94274,0.95434,0.97485,0.92725,0.94981,0.93978,0.96746,0.65456,0.31889,1.27938,0.30031,0.84042,5.35696e-05,5.35696e-05,5.35696e-05
169,2231.22,0.34954,1.09746,0.28359,0.85427,0.94377,0.95321,0.97531,0.92874,0.94356,0.94836,0.96782,0.66532,0.32101,1.25336,0.30135,0.84303,5.08569e-05,5.08569e-05,5.08569e-05
170,2243.77,0.36104,1.13491,0.29468,0.85145,0.94746,0.9452,0.97567,0.93098,0.95143,0.93599,0.96768,0.66939,0.3097,1.22116,0.30351,0.83687,4.82207e-05,4.82207e-05,4.82207e-05
171,2256.91,0.34231,1.08994,0.27555,0.84599,0.94303,0.9541,0.97548,0.92757,0.93868,0.94957,0.96807,0.65719,0.31706,1.28708,0.30509,0.83683,4.56616e-05,4.56616e-05,4.56616e-05
172,2269.69,0.35648,1.10086,0.28317,0.8545,0.94667,0.95357,0.9754,0.92906,0.9419,0.94926,0.96799,0.66495,0.31493,1.25291,0.30515,0.83748,4.31801e-05,4.31801e-05,4.31801e-05
173,2283.06,0.35097,1.08647,0.28065,0.85187,0.94755,0.95525,0.97529,0.93035,0.94358,0.95106,0.96647,0.67084,0.31134,1.22066,0.30401,0.83641,4.0777e-05,4.0777e-05,4.0777e-05
174,2296.28,0.34835,1.09974,0.28222,0.84757,0.94811,0.95436,0.97589,0.93079,0.94417,0.95119,0.96968,0.66557,0.31141,1.24613,0.29933,0.83542,3.84527e-05,3.84527e-05,3.84527e-05
175,2308.66,0.34623,1.06539,0.29219,0.84863,0.95127,0.95069,0.9749,0.93025,0.94677,0.94658,0.96863,0.65863,0.31257,1.2781,0.30136,0.83644,3.6208e-05,3.6208e-05,3.6208e-05
176,2321.47,0.35187,1.14074,0.28896,0.8534,0.94874,0.95483,0.97683,0.93133,0.94511,0.94714,0.96907,0.6527,0.30693,1.28685,0.30111,0.83697,3.40433e-05,3.40433e-05,3.40433e-05
177,2334.68,0.3401,1.04014,0.28169,0.85502,0.94876,0.95534,0.97699,0.93008,0.94499,0.95182,0.97028,0.65844,0.31241,1.26919,0.3011,0.83661,3.19591e-05,3.19591e-05,3.19591e-05
178,2348.15,0.34788,1.09365,0.28557,0.85716,0.93903,0.95991,0.97682,0.9315,0.94678,0.94264,0.96997,0.66895,0.31019,1.21785,0.30176,0.83413,2.9956e-05,2.9956e-05,2.9956e-05
179,2360.67,0.34072,1.08135,0.28282,0.84984,0.94678,0.95534,0.97679,0.93207,0.9694,0.92707,0.9706,0.6712,0.30748,1.21045,0.30175,0.83253,2.80345e-05,2.80345e-05,2.80345e-05
180,2374.11,0.33325,1.06814,0.28284,0.84923,0.95567,0.94768,0.97708,0.93253,0.95722,0.94011,0.97075,0.6707,0.30686,1.20255,0.3036,0.83735,2.61951e-05,2.61951e-05,2.61951e-05
181,2386.41,0.35727,1.09083,0.29729,0.85948,0.95844,0.94773,0.97777,0.93302,0.95588,0.94285,0.96966,0.66372,0.30746,1.25353,0.30142,0.83865,2.44381e-05,2.44381e-05,2.44381e-05
182,2399.53,0.33421,1.07526,0.27463,0.83868,0.95683,0.94558,0.97802,0.93268,0.96593,0.92993,0.97039,0.65642,0.30932,1.2681,0.30098,0.83907,2.27641e-05,2.27641e-05,2.27641e-05
183,2412.54,0.33446,1.08728,0.27265,0.84406,0.96457,0.93839,0.97796,0.93283,0.96361,0.93272,0.9702,0.66291,0.31082,1.23896,0.30095,0.83819,2.11734e-05,2.11734e-05,2.11734e-05
184,2425.8,0.33524,1.08196,0.26912,0.84453,0.95558,0.9466,0.97688,0.93112,0.9522,0.94127,0.96875,0.66422,0.30856,1.22859,0.30059,0.83668,1.96665e-05,1.96665e-05,1.96665e-05
185,2438.44,0.33917,1.06884,0.27778,0.84484,0.95169,0.94894,0.97696,0.93232,0.96408,0.93223,0.96892,0.66529,0.3063,1.23741,0.29996,0.83619,1.82437e-05,1.82437e-05,1.82437e-05
186,2450.51,0.33308,1.05624,0.26888,0.83931,0.95582,0.94668,0.97776,0.93303,0.95273,0.94363,0.96921,0.66826,0.30842,1.23228,0.30658,0.83681,1.69053e-05,1.69053e-05,1.69053e-05
187,2462.84,0.35549,1.08087,0.28112,0.85048,0.95335,0.94917,0.97777,0.9334,0.95165,0.94599,0.97047,0.66255,0.30462,1.26089,0.30266,0.83413,1.56517e-05,1.56517e-05,1.56517e-05
188,2476.37,0.33441,1.06676,0.27108,0.84772,0.95046,0.94818,0.97703,0.93012,0.94907,0.94409,0.97003,0.66762,0.31121,1.23278,0.31131,0.83681,1.44833e-05,1.44833e-05,1.44833e-05
189,2489.24,0.32584,1.05418,0.26147,0.84397,0.9562,0.94143,0.97658,0.92947,0.97092,0.92326,0.96965,0.67063,0.31035,1.2081,0.31295,0.83779,1.34002e-05,1.34002e-05,1.34002e-05
190,2502.03,0.33075,1.06703,0.26635,0.84251,0.95224,0.94417,0.97641,0.92983,0.97129,0.92093,0.96975,0.67026,0.31055,1.20727,0.31129,0.83788,1.24028e-05,1.24028e-05,1.24028e-05
191,2516.02,0.3035,0.96238,0.26136,0.8329,0.95187,0.93867,0.97383,0.92407,0.94948,0.9364,0.96606,0.66072,0.3178,1.21914,0.32713,0.83998,1.14913e-05,1.14913e-05,1.14913e-05
192,2529.53,0.28782,0.98153,0.23486,0.82315,0.94485,0.94548,0.97265,0.9213,0.9411,0.94191,0.96625,0.66173,0.31997,1.21161,0.32027,0.83829,1.06659e-05,1.06659e-05,1.06659e-05
193,2542.21,0.28615,0.94434,0.22638,0.81885,0.95652,0.93547,0.9733,0.92349,0.95464,0.93517,0.96643,0.65952,0.32148,1.224,0.31169,0.83963,9.9269e-06,9.9269e-06,9.9269e-06
194,2555.24,0.2719,0.95428,0.21195,0.81902,0.96116,0.94136,0.97354,0.92448,0.95801,0.93845,0.96724,0.66233,0.31892,1.2222,0.30681,0.83875,9.27438e-06,9.27438e-06,9.27438e-06
195,2567.44,0.29524,0.96394,0.23046,0.82139,0.9577,0.94154,0.97402,0.92614,0.95628,0.94031,0.96794,0.66277,0.31333,1.22433,0.30372,0.8372,8.70853e-06,8.70853e-06,8.70853e-06
196,2579.7,0.2947,0.93682,0.2254,0.83158,0.95149,0.94965,0.97436,0.92683,0.956,0.94046,0.96847,0.66366,0.31337,1.2278,0.30211,0.83695,8.22951e-06,8.22951e-06,8.22951e-06
197,2591.94,0.28368,0.92718,0.21938,0.81392,0.96437,0.93544,0.97451,0.92707,0.963,0.93415,0.9686,0.66208,0.31329,1.24209,0.3008,0.83718,7.83741e-06,7.83741e-06,7.83741e-06
198,2605.15,0.28578,0.97802,0.21984,0.82721,0.962,0.94275,0.9744,0.92799,0.96058,0.94063,0.96821,0.6666,0.31252,1.21783,0.2966,0.83513,7.53235e-06,7.53235e-06,7.53235e-06
199,2617.85,0.30239,0.98229,0.22812,0.83085,0.9639,0.94157,0.97434,0.92701,0.96268,0.93925,0.96775,0.66827,0.31477,1.21574,0.29925,0.83655,7.3144e-06,7.3144e-06,7.3144e-06
200,2632.07,0.29133,0.94621,0.2349,0.8344,0.9594,0.9454,0.97462,0.928,0.95831,0.94272,0.96859,0.66749,0.31545,1.21601,0.29676,0.83655,7.1836e-06,7.1836e-06,7.1836e-06
