epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,435.456,0.60953,1.38446,0.67001,0.95334,0.87604,0.86669,0.92791,0.82482,0.8588,0.85392,0.9059,0.54536,0.51378,1.60059,0.64054,0.89543,0.00067796,0.00067796,0.00067796
31,447.645,0.60144,1.36764,0.6606,0.94213,0.8969,0.82845,0.92662,0.81485,0.88179,0.82137,0.90013,0.53702,0.51561,1.59979,0.60712,0.9032,0.000675478,0.000675478,0.000675478
32,460.574,0.59318,1.36039,0.65015,0.96159,0.919,0.88037,0.93722,0.84499,0.92096,0.87476,0.92131,0.594,0.50661,1.465,0.55078,0.89323,0.000672919,0.000672919,0.000672919
33,474.193,0.58767,1.40737,0.64088,0.94322,0.87469,0.88523,0.94216,0.82588,0.86356,0.86525,0.90496,0.54497,0.50347,1.5072,0.55734,0.89128,0.000670283,0.000670283,0.000670283
34,487.109,0.60325,1.37114,0.65097,0.95855,0.89905,0.8594,0.90432,0.80015,0.88937,0.85188,0.88703,0.57513,0.51344,1.38316,0.65389,0.89632,0.00066757,0.00066757,0.00066757
35,500.334,0.58123,1.39741,0.62898,0.93292,0.88948,0.85139,0.93538,0.84722,0.88602,0.84616,0.91822,0.59281,0.47639,1.42823,0.57013,0.88221,0.000664782,0.000664782,0.000664782
36,512.76,0.55898,1.35033,0.58123,0.92657,0.933,0.89807,0.94813,0.85917,0.93115,0.89234,0.93424,0.631,0.48759,1.29065,0.50364,0.89232,0.000661919,0.000661919,0.000661919
37,525.178,0.58436,1.40025,0.60665,0.94863,0.91131,0.90092,0.95381,0.85059,0.90667,0.89643,0.93971,0.60208,0.51209,1.42281,0.5309,0.90355,0.000658981,0.000658981,0.000658981
38,537.478,0.54658,1.28555,0.6102,0.91337,0.88794,0.88679,0.93075,0.82455,0.88298,0.8793,0.90842,0.56014,0.49016,1.51783,0.54161,0.87881,0.000655969,0.000655969,0.000655969
39,551.233,0.54604,1.37231,0.57933,0.9354,0.92693,0.89645,0.95576,0.86254,0.9343,0.88676,0.93703,0.60359,0.49784,1.36911,0.48544,0.89056,0.000652885,0.000652885,0.000652885
40,564.447,0.55269,1.27963,0.56219,0.9211,0.90675,0.88121,0.94023,0.84456,0.89983,0.87886,0.92593,0.5913,0.49385,1.43677,0.5468,0.88858,0.000649729,0.000649729,0.000649729
41,577.268,0.58344,1.4015,0.58264,0.93643,0.90538,0.88391,0.94615,0.85164,0.89894,0.87604,0.9309,0.61369,0.49651,1.30941,0.55315,0.88465,0.000646501,0.000646501,0.000646501
42,590.115,0.5609,1.37536,0.60541,0.93804,0.9286,0.90523,0.96039,0.87587,0.94729,0.87202,0.94171,0.65345,0.47529,1.17581,0.46829,0.88095,0.000643203,0.000643203,0.000643203
43,603.65,0.53657,1.29936,0.58249,0.92673,0.89817,0.89071,0.93078,0.849,0.89434,0.88328,0.91722,0.61825,0.46978,1.26059,0.54333,0.88263,0.000639834,0.000639834,0.000639834
44,617.609,0.54258,1.37306,0.5549,0.92746,0.92323,0.9039,0.95234,0.87287,0.92805,0.88906,0.93863,0.60838,0.46567,1.3736,0.48822,0.88439,0.000636398,0.000636398,0.000636398
45,630.416,0.55437,1.3593,0.56652,0.92882,0.92631,0.88936,0.95196,0.87077,0.91853,0.88114,0.93293,0.59614,0.46283,1.40079,0.5063,0.88017,0.000632892,0.000632892,0.000632892
46,642.962,0.53158,1.29991,0.54925,0.92085,0.92039,0.85882,0.93881,0.85438,0.91606,0.8524,0.91886,0.63659,0.45612,1.26077,0.53347,0.87659,0.00062932,0.00062932,0.00062932
47,656.067,0.51901,1.27217,0.52,0.90844,0.87553,0.84908,0.89357,0.80077,0.87632,0.83708,0.86964,0.55455,0.50252,1.47189,0.59905,0.89652,0.000625682,0.000625682,0.000625682
48,669.899,0.55567,1.32512,0.58694,0.93396,0.91449,0.90517,0.95447,0.87269,0.93178,0.87332,0.93007,0.60142,0.46381,1.34423,0.50345,0.88164,0.000621978,0.000621978,0.000621978
49,682.692,0.53934,1.2964,0.54735,0.92587,0.85741,0.88487,0.92522,0.84384,0.85399,0.88008,0.91481,0.5799,0.46516,1.40114,0.57209,0.88017,0.000618209,0.000618209,0.000618209
50,696.177,0.52568,1.30083,0.55113,0.93085,0.89128,0.90561,0.93835,0.85596,0.89445,0.89147,0.9267,0.62386,0.4535,1.24797,0.50657,0.86531,0.000614377,0.000614377,0.000614377
51,709.14,0.53932,1.30298,0.5379,0.91852,0.92434,0.86757,0.94549,0.86547,0.92709,0.85911,0.93733,0.63739,0.45691,1.23515,0.52942,0.88061,0.000610483,0.000610483,0.000610483
52,721.683,0.55048,1.33658,0.55724,0.93211,0.94948,0.90115,0.96369,0.8822,0.94611,0.89916,0.94895,0.6628,0.46451,1.21315,0.45462,0.87607,0.000606526,0.000606526,0.000606526
53,734.92,0.51832,1.27892,0.51834,0.91436,0.90734,0.87027,0.94137,0.85063,0.92663,0.85166,0.91919,0.64936,0.48637,1.23032,0.5559,0.89359,0.000602509,0.000602509,0.000602509
54,748.394,0.54893,1.31529,0.54077,0.93502,0.93139,0.8796,0.94403,0.86027,0.9311,0.87693,0.92803,0.62621,0.45558,1.2751,0.51949,0.87686,0.000598433,0.000598433,0.000598433
55,761.309,0.51712,1.28125,0.54173,0.91238,0.93553,0.87758,0.95149,0.87563,0.9282,0.87188,0.93932,0.6061,0.43557,1.40945,0.48196,0.87055,0.000594297,0.000594297,0.000594297
56,773.548,0.53664,1.28799,0.55488,0.90633,0.92329,0.88397,0.94534,0.86718,0.9215,0.88238,0.93353,0.59542,0.45116,1.41766,0.47437,0.87763,0.000590104,0.000590104,0.000590104
57,786.298,0.51141,1.34528,0.53678,0.9123,0.91338,0.87213,0.92508,0.85321,0.91043,0.86846,0.91132,0.62823,0.44246,1.19963,0.54184,0.87649,0.000585855,0.000585855,0.000585855
58,799.639,0.51885,1.32359,0.52534,0.9086,0.92285,0.90896,0.95809,0.87702,0.91957,0.90269,0.94063,0.63663,0.45442,1.22092,0.45347,0.8659,0.00058155,0.00058155,0.00058155
59,813.024,0.50552,1.3038,0.5199,0.91131,0.93286,0.92014,0.96235,0.89146,0.92719,0.91174,0.94461,0.64145,0.41152,1.28342,0.4367,0.86336,0.00057719,0.00057719,0.00057719
60,826.396,0.5047,1.26965,0.51714,0.91162,0.9282,0.89876,0.95744,0.88273,0.91936,0.89105,0.93597,0.60988,0.42168,1.40623,0.46856,0.86653,0.000572777,0.000572777,0.000572777
61,838.651,0.5088,1.30218,0.52574,0.92114,0.94446,0.91261,0.96268,0.89345,0.93833,0.9051,0.94567,0.64717,0.42566,1.24473,0.42503,0.86714,0.000568311,0.000568311,0.000568311
62,851.154,0.5168,1.32133,0.51915,0.91546,0.93259,0.90134,0.95984,0.88724,0.94408,0.88689,0.9432,0.58293,0.42319,1.45399,0.44528,0.85662,0.000563794,0.000563794,0.000563794
63,864.231,0.50704,1.26948,0.51088,0.91533,0.93319,0.89148,0.95596,0.8778,0.92776,0.88615,0.9343,0.61178,0.43656,1.35368,0.45998,0.86732,0.000559227,0.000559227,0.000559227
64,876.657,0.50361,1.28363,0.49564,0.90412,0.95918,0.91313,0.96649,0.89296,0.95646,0.91083,0.95265,0.66902,0.41441,1.1809,0.40333,0.86183,0.000554611,0.000554611,0.000554611
65,889.198,0.50753,1.27376,0.49464,0.90299,0.94391,0.91679,0.95831,0.88649,0.956,0.89984,0.94165,0.6463,0.44705,1.23445,0.41219,0.88646,0.000549947,0.000549947,0.000549947
66,902.034,0.49165,1.25232,0.46021,0.89402,0.93913,0.89656,0.95657,0.88659,0.93345,0.89133,0.93736,0.62705,0.421,1.28558,0.42748,0.866,0.000545237,0.000545237,0.000545237
67,914.294,0.50357,1.31169,0.49219,0.91148,0.95832,0.90828,0.96701,0.89747,0.95611,0.90561,0.95452,0.63988,0.43046,1.40255,0.4242,0.86435,0.000540481,0.000540481,0.000540481
68,927.662,0.49246,1.24244,0.4848,0.89987,0.95617,0.91188,0.95491,0.88575,0.95072,0.90703,0.93755,0.64497,0.40859,1.24493,0.41601,0.86467,0.00053568,0.00053568,0.00053568
69,940.21,0.48379,1.27221,0.4685,0.89492,0.94755,0.91042,0.96343,0.89231,0.94312,0.90696,0.94828,0.64584,0.42145,1.27191,0.41825,0.86975,0.000530836,0.000530836,0.000530836
70,953.201,0.50394,1.28645,0.49828,0.90622,0.94754,0.92629,0.9619,0.89167,0.94863,0.91714,0.94856,0.60951,0.42335,1.38533,0.42137,0.86034,0.00052595,0.00052595,0.00052595
71,965.426,0.47446,1.24216,0.45608,0.8922,0.94413,0.90332,0.95972,0.88688,0.93874,0.89883,0.94405,0.62204,0.40649,1.34388,0.43185,0.8653,0.000521024,0.000521024,0.000521024
72,978.771,0.46361,1.21666,0.46,0.893,0.91592,0.89548,0.95164,0.87995,0.91587,0.89116,0.93375,0.63883,0.42866,1.26249,0.49827,0.86656,0.000516058,0.000516058,0.000516058
73,991.581,0.47114,1.24568,0.47232,0.89371,0.95483,0.91965,0.96893,0.89825,0.94446,0.92296,0.95605,0.62959,0.40035,1.32355,0.40212,0.85993,0.000511053,0.000511053,0.000511053
74,1005.24,0.47374,1.22988,0.4682,0.89862,0.9148,0.8889,0.95623,0.88271,0.91253,0.88344,0.93872,0.6174,0.40879,1.37652,0.44927,0.86158,0.000506012,0.000506012,0.000506012
75,1018.12,0.47349,1.23843,0.45391,0.89763,0.96599,0.92342,0.97038,0.89663,0.96089,0.91896,0.95592,0.64801,0.41769,1.21882,0.40437,0.86022,0.000500934,0.000500934,0.000500934
76,1030.7,0.46422,1.24509,0.45002,0.886,0.93985,0.90995,0.95631,0.88151,0.93052,0.90177,0.93632,0.6504,0.41553,1.18008,0.42905,0.87054,0.000495822,0.000495822,0.000495822
77,1043.07,0.46865,1.22094,0.44964,0.90252,0.94374,0.91955,0.96441,0.89709,0.94118,0.91759,0.95456,0.64455,0.41035,1.24243,0.39247,0.85888,0.000490676,0.000490676,0.000490676
78,1055.79,0.46856,1.25435,0.45342,0.89374,0.934,0.88613,0.95281,0.88232,0.93112,0.88354,0.93798,0.6239,0.41947,1.33462,0.46668,0.86932,0.000485499,0.000485499,0.000485499
79,1068.8,0.45922,1.19686,0.45692,0.88237,0.91325,0.87633,0.93656,0.86823,0.90976,0.87133,0.92299,0.62146,0.44104,1.40205,0.5641,0.8784,0.00048029,0.00048029,0.00048029
